publisher,title,summary,pubdate,link,thumblink
New York Times,"Clint Frazier Knows Why He’s in Scranton, but Longs for New York","The brash young outfielder has heard the criticisms of his personality and play, but he’s embraced the relative calm of the minor leagues to work on his game — for now.","Fri, 09 Aug 2019 11:00:06 +0000",https://www.nytimes.com/2019/08/09/sports/baseball/clint-frazier-yankees.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/sports/08yankees-web/08yankees-web-moth.jpg
New York Times,"Whispers of Sexual Abuse Tailed an Equestrian Legend for Decades. At 81, He Was Barred for Life.","George H. Morris’s stature in the sport was nearly unrivaled, even though some in the horse world said they had long been aware of his relationships with minors.","Fri, 09 Aug 2019 13:58:22 +0000",https://www.nytimes.com/2019/08/08/sports/george-morris.html?emc=rss&partner=rss,
New York Times,Paul George’s Injury Was a Bad Break With No Permanent Damage,"Five years after the star sustained a horrific injury while playing for Team U.S.A., the player and program have moved on.","Fri, 09 Aug 2019 04:52:28 +0000",https://www.nytimes.com/2019/08/08/sports/basketball/paul-george-usa-basketball.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/sports/08stein-print/08stein-web1-moth.jpg
New York Times,"In His Twilight, Tiger Woods Searches for the Bright Spots","Since his dramatic Masters victory in April, Woods has struggled to compete, adjusting his workload according to his back pain.","Fri, 09 Aug 2019 04:53:03 +0000",https://www.nytimes.com/2019/08/08/sports/golf/tiger-woods-fedex-cup-northern-trust.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/sports/08woods/08woods-moth.jpg
New York Times,Running to Put San Quentin Behind Him,"Markelle Taylor changed at San Quentin State Prison, where he became a marathoner. Now he is on the run of his life.","Thu, 08 Aug 2019 19:02:28 +0000",https://www.nytimes.com/2019/08/08/sports/running-san-quentin.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/06/sports/00markelle/00markelle-moth-v2.jpg
New York Times,Manchester City Looks Unbeatable. These Coaches Know It’s Not.,"The Premier League season opens this weekend, and Pep Guardiola’s team is favored to cruise to its third straight title.","Thu, 08 Aug 2019 23:02:04 +0000",https://www.nytimes.com/2019/08/08/sports/premier-league-preview-manchester-city.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/sports/09onsoccer1/09onsoccer1-moth.jpg
New York Times,Daniel Jones Puts on a Show in Giants’ Rain-Delayed Victory,"The rookie quarterback went 5 for 5 with a touchdown, outdueling Sam Darnold of the rival Jets.","Fri, 09 Aug 2019 05:00:46 +0000",https://www.nytimes.com/2019/08/09/sports/football/giants-jets-daniel-jones.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/sports/08giantsjets-print/08giantsjets-print-moth.jpg
New York Times,Yankees Will Play White Sox at Iowa’s Field of Dreams,"The game will take place at the site where the 1989 film was made, in a stadium built to major-league specifications.","Fri, 09 Aug 2019 05:03:38 +0000",https://www.nytimes.com/2019/08/08/sports/baseball/yankees-will-play-white-sox-at-iowas-field-of-dreams.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/sports/08fieldofdreams-print/merlin_159012330_0bfdbbf5-5db2-41f0-81d3-f9f8d1c96d1f-moth.jpg
New York Times,Yankees Bash Blue Jays for 9th Win in Row,"Gio Urshela hit two home runs for the second straight game, and Mike Tauchman hit one.","Fri, 09 Aug 2019 06:17:32 +0000",https://www.nytimes.com/2019/08/09/sports/baseball/yankees-bash-blue-jays-for-9th-win-in-row.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/sports/08yankees-print/08yankees-print-moth.jpg
New York Times,Ready for the World (and his Utah Teammate),Rudy Gobert is always going to tout himself to win a one-on-one duel at the rim — with anyone.,"Thu, 08 Aug 2019 20:55:20 +0000",https://www.nytimes.com/2019/08/08/sports/basketball/rudy-gobert-fiba-world-cup.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/06/sports/06steinnewsletter-top/06steinnewsletter-top-moth.jpg
New York Times,"Rosie Ruiz, Who Faked Victory in Boston Marathon, Dies at 66",Ms. Ruiz “won” the 1980 Boston Marathon after bursting through the crowd about a mile from the finish line. She was later disqualified.,"Thu, 08 Aug 2019 22:46:06 +0000",https://www.nytimes.com/2019/08/08/sports/rosie-ruiz-boston-marathon-dead.html?emc=rss&partner=rss,
New York Times,Roger Federer and Rafael Nadal Return to Leadership Roles in Tennis,They will join Novak Djokovic on the ATP Player Council at a time when players are divided over the direction of the tour.,"Fri, 09 Aug 2019 04:53:43 +0000",https://www.nytimes.com/2019/08/08/sports/tennis/roger-federer-rafael-nadal-atp-player-council.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/sports/08tennis-print/08tennisweb1-moth.jpg
New York Times,"Simone Biles, in Tears, Says She Still Cannot Trust U.S.A. Gymnastics","After a training session ahead of this week’s United States Gymnastics Championships, Biles described some of the emotional aftermath of the sport’s sexual abuse scandal.","Thu, 08 Aug 2019 08:13:18 +0000",https://www.nytimes.com/2019/08/07/sports/simone-biles-gymnastics-nassar.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/07/sports/07biles1/07biles1-moth-v2.jpg
New York Times,Antonio Brown Appears to Have a Case of (Extremely) Cold Feet,The Raiders’ new star receiver is inactive because of a mysterious foot injury.,"Fri, 09 Aug 2019 05:02:49 +0000",https://www.nytimes.com/2019/08/08/sports/football/antonio-brown-cryogenic-chamber.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/sports/08brown-print/08brownWEB1-moth.jpg
