publisher,title,summary,pubdate,link,thumblink
New York Times,"Help for the Economy? Despite Grumbling, Trump Has Had Plenty",The Fed and Congress have given President Trump the most growth-friendly climate in decades. But the trade war may test its limits.,"Fri, 09 Aug 2019 13:50:37 +0000",https://www.nytimes.com/2019/08/08/business/economy/trump-stimulus-economy.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/07/business/00DC-TAILWINDS-01/00DC-TAILWINDS-01-moth.jpg
New York Times,Italy’s Biggest Economic Problem? It’s Still Italy,Political chaos and confrontation with the European Union over spending rules have reinforced what a finance professor calls the country’s “serial stagnation.”,"Fri, 09 Aug 2019 14:09:01 +0000",https://www.nytimes.com/2019/08/09/business/italy-economy-debt.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/05/business/05italyecon-1/00italyecon-1-moth.jpg
New York Times,"British Economy Shrinks, a Sign of Economic Uncertainty","The government reported a 0.2 percent contraction, a signal that Brexit and a global economic slowdown are taking a toll.","Fri, 09 Aug 2019 12:00:59 +0000",https://www.nytimes.com/2019/08/09/business/british-economy-second-quarter-shrinks.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/business/09ukgdp/merlin_159052365_90b9209f-9ef8-4763-b9ea-5eb12199e575-moth.jpg
New York Times,Trump Weighs New Stance on Guns as Pressure Mounts After Shootings,The president is consulting allies about supporting expanded background checks. Mitch McConnell said the idea would be “front and center” when the Senate reconvenes.,"Fri, 09 Aug 2019 12:37:57 +0000",https://www.nytimes.com/2019/08/08/us/politics/gun-background-checks.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/us/politics/08dc-guns/08dc-guns-moth.jpg
New York Times,"An Empty Parking Lot, Filled by El Paso’s Grief","Behind the Walmart where a gunman opened fire, dancers, mariachis and prayers commemorate the victims.","Fri, 09 Aug 2019 13:50:37 +0000",https://www.nytimes.com/2019/08/09/us/el-paso-shooting-memorial.html?emc=rss&partner=rss,
New York Times,El Paso Suspect Ordered Gun and Moved Out in Weeks Before Attack,The suspect’s mother called the police about a gun her son had ordered. Her lawyer said that it was an “informational call” and that she did not raise concerns he was a threat.,"Fri, 09 Aug 2019 13:18:21 +0000",https://www.nytimes.com/2019/08/08/us/el-paso-suspect.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/us/08gunman/merlin_158887509_82a159bd-7c10-4368-b89c-08f444968e6f-moth.jpg
New York Times,Trump’s Opponents Want to Name His Big Donors. His Supporters Say It’s Harassment.,"Calling out campaign donors isn’t a new political tactic, but the question of how much should be publicly disclosed about them has been an issue repeatedly raised by Republicans in recent years.","Fri, 09 Aug 2019 02:50:59 +0000",https://www.nytimes.com/2019/08/08/us/politics/castro-trump-donors.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/us/politics/08dc-donors-01/08dc-donors-01-moth.jpg
New York Times,"They Paid $42 for a SoulCycle Ride, Not for Trump","A look at what happens when politics enters every spandex-clad corner of life, especially in the Hamptons.","Fri, 09 Aug 2019 13:50:38 +0000",https://www.nytimes.com/2019/08/08/us/politics/soulcycle-equinox-boycott.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/us/politics/08soulcycle-sub/08soulcycle-sub-moth.jpg
New York Times,What Is YouTube Pushing You to Watch Next?,A New TV Show from The New York Times on FX and Hulu,"Fri, 09 Aug 2019 13:50:37 +0000",https://www.nytimes.com/2019/08/09/the-weekly/youtube-brazil-far-right.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/11/autossell/11theweekly-brazilyoutube-promoimage1/18theweekly-brazilyoutube-promoimage1-moth.jpg
New York Times,"The Lives of Ferguson Activists, Five Years Later","The energy of the street protests has faded, but it carries on in national conversations about race, and in the lives of the people who were there.","Fri, 09 Aug 2019 13:50:38 +0000",https://www.nytimes.com/2019/08/09/us/ferguson-activists.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/us/00characters/00characters-moth.jpg
New York Times,The Great American Lawn: How the Dream Was Manufactured,America’s lawns represent the pride of homeownership and community. But maintaining them risks contributing to climate change. So why do we even have lawns in the first place? We traced their history.,"Fri, 09 Aug 2019 13:16:12 +0000",https://www.nytimes.com/video/us/100000006542254/climate-change-lawns.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/06/05/autossell/09vid-lawns-1/09vid-lawns-1-moth.jpg
New York Times,"Mitch McConnell, SoulCycle, Uber: Your Friday Briefing",Here’s what you need to know.,"Fri, 09 Aug 2019 11:48:42 +0000",https://www.nytimes.com/2019/08/09/briefing/mitch-mcconnell-soulcycle-uber.html?emc=rss&partner=rss,
New York Times,Meet the Rockaways’ Cycling Newsman,"Friday: Kevin Boyle's weekly paper has a storefront office, but he practically runs it from his bike.","Fri, 09 Aug 2019 10:06:52 +0000",https://www.nytimes.com/2019/08/09/nyregion/newyorktoday/nyc-news-rockaway-times.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/nyregion/09nytoday1/09nytoday1-moth.jpg
New York Times,The Crackdown on Kashmir,The decision by India’s Hindu nationalist government to revoke the autonomy of the disputed region brings a decades-long conflict to a tipping point.,"Fri, 09 Aug 2019 11:52:04 +0000",https://www.nytimes.com/2019/08/09/podcasts/the-daily/kashmir-india-modi.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/05/world/05kashmir-copy/05kashmir-copy-moth-v2.jpg
New York Times,"Three Things You Can Do: Swap, Share and Donate","Also this week, life as a young, conservative climate advocate.","Fri, 09 Aug 2019 10:00:54 +0000",https://www.nytimes.com/2019/08/07/climate/nyt-climate-newsletter-swap.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/climate/07cli-newsletter-onethingswap/07cli-newsletter-onethingswap-moth.jpg
New York Times,Does Trump Help Fuel Mass Shootings?,And are Democrats breaking up with Obama?,"Fri, 09 Aug 2019 10:00:54 +0000",https://www.nytimes.com/2019/08/08/opinion/the-argument-trump-el-paso-white-supremacy.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/opinion/08argument-fortytwo-web/08argument-fortytwo-web-moth.jpg
New York Times,The Sale of a Manson Murder House,"Friday: The history of the LaBianca home, surf therapy, and remembering a Bay Area civil rights champion.","Fri, 09 Aug 2019 13:05:46 +0000",https://www.nytimes.com/2019/08/09/us/labianca-house-manson-murders.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/us/politics/09californiatoday/merlin_158067915_48483e88-8a46-4deb-b315-704e360c61fd-moth.jpg
New York Times,What Makes an American?,I took reassurance this past week in a Texas immigration story that suggests America’s powers of assimilation remain formidable.,"Fri, 09 Aug 2019 13:00:11 +0000",https://www.nytimes.com/2019/08/09/sunday-review/immigration-assimilation-texas.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/11/opinion/sunday/11Deparle-01/11Deparle-01-moth-v2.jpg
New York Times,Farmers Don’t Need to Read the Science. We Are Living It.,A new report is another dire warning on climate change.,"Fri, 09 Aug 2019 14:11:29 +0000",https://www.nytimes.com/2019/08/09/opinion/climate-change-food-report.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/opinion/09Sano/09Sano-moth.jpg
New York Times,The Legacy of Toni Morrison,There is a blossoming of black women writers who are following her footsteps and making their own impact.,"Fri, 09 Aug 2019 13:00:11 +0000",https://www.nytimes.com/2019/08/09/opinion/roxane-gay-toni-morrison.html?emc=rss&partner=rss,
New York Times,It’s Too Late to Ban Assault Weapons,The half-life of military-style rifles ensures they’ll be with us for many generations. Time to deal with the world as it is.,"Fri, 09 Aug 2019 13:00:11 +0000",https://www.nytimes.com/2019/08/09/opinion/ar15-assault-weapon-ban.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/opinion/09salt-web/09salt-web-moth.jpg
New York Times,Trump’s Trade War Is Breeding Patriots in China,"America goes after Huawei, and Chinese consumers rally to buy from the company.","Fri, 09 Aug 2019 13:00:11 +0000",https://www.nytimes.com/2019/08/09/opinion/china-trade-huawei.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/opinion/09huang/09huang-moth.jpg
New York Times,Your Baby Boomer Report Card,What grade has a generation earned? An A+? A C-?,"Fri, 09 Aug 2019 14:28:34 +0000",https://www.nytimes.com/2019/08/08/opinion/baby-boomers-report-card.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/opinion/08brooks/08brooks-moth.jpg
New York Times,China Tries to Teach Trump Economics,But he doesn’t seem to be learning.,"Fri, 09 Aug 2019 14:28:32 +0000",https://www.nytimes.com/2019/08/08/opinion/trump-china-trade.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/opinion/08krugman-web/08krugman-web-moth.jpg
New York Times,May the SoulCycle Boycott Make Democracy Better,Stunts like Joaquin Castro’s upstage a real concern: Americans should want to know more about who funds political campaigns.,"Fri, 09 Aug 2019 14:28:35 +0000",https://www.nytimes.com/2019/08/08/opinion/soulcycle-equinox-trump-castro.html?emc=rss&partner=rss,https://static01.nyt.com/images/2018/11/04/us/politics/08disclosure-web/04midterms1-moth.jpg
