publisher,title,summary,pubdate,link,thumblink
New York Times,Modi Defends Revoking Kashmir’s Statehood as Protests Flare,Demonstrations against the move to revoke the disputed region’s special status had broken out ahead of the speech by Prime Minister Narendra Modi.,"Thu, 08 Aug 2019 21:24:28 +0000",https://www.nytimes.com/2019/08/08/world/asia/kashmir-india-modi.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/09/08/world/08kashmir-1sub/08kashmir-1sub-moth.jpg
New York Times,"Hong Kong Protesters Descend on Airport, With Plans to Stay for Days","Thousands of demonstrators filled the arrivals hall at the airport, one of the world’s busiest, chanting and handing out pamphlets to travelers.","Fri, 09 Aug 2019 14:00:56 +0000",https://www.nytimes.com/2019/08/09/world/asia/hong-kong-airport-protest.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/world/09hongkong-top/09hongkong-top-moth.jpg
New York Times,"In Afghanistan, the Endgame Demands a Difficult Balancing Act in a Region on Edge","Rising tensions between India and Pakistan — not to mention the interests of China, Iran and Russia — are complicating American peace talks with the Taliban that are already filled with suspicion.","Fri, 09 Aug 2019 10:01:52 +0000",https://www.nytimes.com/2019/08/08/world/asia/afghanistan-peace-talks-taliban.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/world/08afghan-peace/08afghan-peace-moth.jpg
New York Times,"Coke Ad Riles Hungary Conservatives, Part of Larger Gay Rights Battle","In Eastern Europe, right-wing nationalists have focused their wrath on L.G.B.T. people, who they say are forcing immoral ways on their countries.","Fri, 09 Aug 2019 10:13:26 +0000",https://www.nytimes.com/2019/08/09/world/europe/gays-hungary-poland-lgbt-ideology.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/world/09hungary/09hungary-moth.jpg
New York Times,Powerful Typhoon Bypasses Taiwan and Heads Toward China,"Hundreds of flights have been canceled in Taiwan and China because of Typhoon Lekima, and officials on the mainland are worried about torrential flooding.","Fri, 09 Aug 2019 07:06:48 +0000",https://www.nytimes.com/2019/08/09/world/asia/typhoon-lekima-china-taiwan.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/world/09typhoon-1/09typhoon-1-moth.jpg
New York Times,U.S. Sanctions Turn Iran’s Oil Industry Into Spy vs. Spy,"Accused C.I.A. spies are said to have been gathering intelligence on oil sales, data that the Americans want and that Iran wants to keep secret.","Thu, 08 Aug 2019 22:59:47 +0000",https://www.nytimes.com/2019/08/08/world/middleeast/iran-oil-sanctions-spying.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/world/xxiran-spies1/xxiran-spies1-moth.jpg
New York Times,"Vodka From Chernobyl Is Perfectly Safe, Say the Scientists Who Made It","Branded “Atomik” and certified free of excess radioactivity, the artisanal spirit is part of a plan to help revive agriculture and aid residents around the nuclear disaster site.","Fri, 09 Aug 2019 11:19:32 +0000",https://www.nytimes.com/2019/08/09/world/europe/chernobyl-vodka-atomik.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/world/08chernobyl-vodka/08chernobyl-vodka-moth.jpg
New York Times,Italy’s Most Powerful Populist Rules From the Beach,"Matteo Salvini, the anti-migrant interior minister, has a talent for expressing the country’s id. A highly visible vacation was the latest step in his campaign for the top job.","Thu, 08 Aug 2019 21:21:35 +0000",https://www.nytimes.com/2019/08/08/world/europe/matteo-salvini-italy-beach.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/world/08salvini1/08salvini1-moth.jpg
New York Times,Are We Headed for Another Expensive Nuclear Arms Race? Could Be.,"With the I.N.F. treaty gone, doubts about the New START accord and talk of American missile deployments in Asia, a new arms race seems inevitable.","Thu, 08 Aug 2019 21:09:17 +0000",https://www.nytimes.com/2019/08/08/world/europe/arms-race-russia-china.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/world/08armrace1/08armrace1-moth.jpg
New York Times,Hajj Begins as Muslims Flock to Mecca,Among the faithful making the annual pilgrimage are survivors and relatives of victims of the New Zealand mosque attacks.,"Fri, 09 Aug 2019 13:56:42 +0000",https://www.nytimes.com/2019/08/09/world/middleeast/hajj-mecca-muslims.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/world/09hajj1/merlin_159015771_b826a899-c61e-41c9-817d-56817098c2e5-moth.jpg
New York Times,"Missionary, Businessman, Prisoner, Spy: An American’s Odyssey in North Korea","Like others arrested in North Korea, Kim Dong-chul made a public confession of spying. Unlike many others, he says in a new memoir, he was telling the truth.","Fri, 09 Aug 2019 13:30:04 +0000",https://www.nytimes.com/2019/08/09/world/asia/north-korea-us-spy-prisoner.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/06/world/00nkorea-hostage-1/00nkorea-hostage-1-moth.jpg
New York Times,"Mitch McConnell, SoulCycle, Uber: Your Friday Briefing",Here’s what you need to know.,"Fri, 09 Aug 2019 11:48:42 +0000",https://www.nytimes.com/2019/08/09/briefing/mitch-mcconnell-soulcycle-uber.html?emc=rss&partner=rss,
New York Times,What Is YouTube Pushing You to Watch Next?,A New TV Show from The New York Times on FX and Hulu,"Fri, 09 Aug 2019 13:50:37 +0000",https://www.nytimes.com/2019/08/09/the-weekly/youtube-brazil-far-right.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/11/autossell/11theweekly-brazilyoutube-promoimage1/18theweekly-brazilyoutube-promoimage1-moth.jpg
New York Times,What Worries Iceland? A World Without Ice. It Is Preparing.,"As rising temperatures drastically reshape Iceland’s landscape, businesses and the government are spending millions for survival and profit.","Fri, 09 Aug 2019 14:25:31 +0000",https://www.nytimes.com/2019/08/09/business/iceland-ice-melt-global-warming-climate-change.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/business/00icewarm-1-copy/00icewarm-1-copy-moth-v2.jpg
New York Times,"U.N. Climate Report, Iran, Matteo Salvini: Your Friday Briefing",Here’s what you need to know.,"Fri, 09 Aug 2019 06:56:54 +0000",https://www.nytimes.com/2019/08/08/briefing/un-climate-report-iran-matteo-salvini.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/briefing/09ambriefing-euro-promo/09ambriefing-euro-promo-moth.jpg
New York Times,"Australia’s ‘Unbreakable,’ and Worrisome, Alliance","Mike Pompeo, the United States secretary of state, came to Sydney a few days ago. Here’s what it means.","Fri, 09 Aug 2019 00:50:28 +0000",https://www.nytimes.com/2019/08/08/world/australia/pompeo-china.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/world/09australialetter199-1/09australialetter199-1-moth.jpg
New York Times,What’s Going On in Hong Kong? What to Know About the Protests,"The demonstrations in Hong Kong have evolved, marked by changing tactics and goals — and more frequent violence. We explain why.","Fri, 09 Aug 2019 13:29:47 +0000",https://www.nytimes.com/2019/08/08/world/asia/hong-kong-protests-whats-going-on.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/07/world/07hkg-catchup1/07hkg-catchup1-moth.jpg
New York Times,19 Bodies Hung From Bridge or Dismembered in Mexico Gang Feud,"The victims were found in the western state of Michoacan, alongside a banner bearing the initials of the Jalisco cartel and threatening a rival gang.","Fri, 09 Aug 2019 09:30:09 +0000",https://www.nytimes.com/2019/08/08/world/americas/mexico-drug-feud-bodies-michoacan.html?emc=rss&partner=rss,
New York Times,"Gun Control, Andrew McCabe, Sharks: Your Thursday Evening Briefing",Here’s what you need to know at the end of the day.,"Thu, 08 Aug 2019 22:14:18 +0000",https://www.nytimes.com/2019/08/08/briefing/united-nations-andrew-mccabe-sharks.html?emc=rss&partner=rss,
