publisher,title,summary,pubdate,link,thumblink
New York Times,Sharon Tate Is a Woman in a Tarantino Movie. It’s Complicated.,“Once Upon a Time … in Hollywood” has been criticized for simplifying the actress killed by the Manson family. But there’s more to it than that.,"Fri, 09 Aug 2019 02:27:07 +0000",https://www.nytimes.com/2019/08/07/movies/sharon-tate-tarantino-women.html?emc=rss&partner=rss,
New York Times,‘Superbad’ & Me,The raunchy coming-of-age film still (mostly) holds up. But I may have loved it for the wrong reason.,"Tue, 06 Aug 2019 04:01:46 +0000",https://www.nytimes.com/2019/08/05/arts/superbad-me.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/06/arts/05series-superbad1/05series-superbad1-moth.jpg
New York Times,"D.A. Pennebaker, Pioneer of Cinéma Vérité in America, Dies at 94","With films that observed political and pop cultural figures — including, notably, Bob Dylan — Mr. Pennebaker “invented nothing less than the modern documentary.”","Mon, 05 Aug 2019 15:53:48 +0000",https://www.nytimes.com/2019/08/03/movies/d-a-pennebaker-dead.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/03/us/03pennebaker-sub/merlin_107919820_2624a956-1211-4ac8-8a2a-9e5c89b547c7-moth.jpg
New York Times,When Rape Onscreen Is Directed by a Woman,"“The Nightingale,” from Jennifer Kent, looks at the effects of sexual assault in 1820s Tasmania. Critics say it is too graphic; defenders say it reflects historical truths.","Thu, 08 Aug 2019 21:54:29 +0000",https://www.nytimes.com/2019/08/02/movies/rape-film-nightingale.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/04/arts/04rape-film1/04rape-film1-moth.jpg
New York Times,‘Hobbs & Shaw’ Review: Rock-em-Sock-em Bromance,This “Fast & Furious” spinoff featuring Dwayne Johnson and Jason Statham veers awfully close to rom-com territory.,"Fri, 02 Aug 2019 15:47:24 +0000",https://www.nytimes.com/2019/08/01/movies/fast-and-furious-presents-hobbs-and-shaw-review.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/02/arts/02Hobbs-Shaw1/02Hobbs-Shaw1-moth.jpg
New York Times,"Yasuhiro Takemoto, Anime Director, Died in Kyoto Arson Attack","The director, who was known for his fantastical yet relatable work, was finally confirmed dead after weeks of confusion.","Wed, 07 Aug 2019 00:05:17 +0000",https://www.nytimes.com/2019/08/05/arts/yasuhiro-takemoto-dead.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/05/obituaries/05xp-takemoto/05xp-takemoto-moth.jpg
New York Times,‘Hobbs & Shaw’ Leads at the Box Office,The “Fast and Furious” spinoff brought in about $60.8 million during its opening weekend — and significantly more overseas.,"Mon, 05 Aug 2019 20:48:01 +0000",https://www.nytimes.com/2019/08/04/arts/hobbs-shaw-leads-at-the-box-office.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/04/arts/04box/04box-moth.jpg
New York Times,‘The Nightingale’ Review: A Song of Violence and Vengeance,"Jennifer Kent follows “The Babadook” with a harrowing, politically charged tale of sexual and racial brutality in 19th-century Tasmania.","Fri, 02 Aug 2019 17:11:38 +0000",https://www.nytimes.com/2019/08/01/movies/nightingale-review.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/02/arts/02NIGHTINGALE-1/02NIGHTINGALE-1-moth.jpg
New York Times,Exactly How ‘Fast & Furious’ Presents Hobbs & Shaw,"The director David Leitch discusses his split-screen introduction of the film’s title characters, played by Dwayne Johnson and Jason Statham.","Sat, 03 Aug 2019 22:56:46 +0000",https://www.nytimes.com/2019/08/02/movies/exactly-how-fast-furious-presents-hobbs-shaw.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/03/arts/03video/hobbs-anatomy-moth.jpg
New York Times,3 Film Series to Catch in N.Y.C. This Weekend,Our guide to film series and special screenings.,"Thu, 08 Aug 2019 21:00:04 +0000",https://www.nytimes.com/2019/08/08/movies/nyc-this-weekend-film-series.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/arts/09listings-movies/09listings-movies-moth.jpg
