publisher,title,summary,pubdate,link,thumblink
New York Times,Novartis C.E.O. Defends Company’s Decision to Withhold False Data From the F.D.A.,"Responding to the agency’s stern rebuke, Vas Narasimhan, the company’s executive, tried to reassure investors that Novartis did not intentionally deceive the F.D.A. while seeking approval for its $2.1 million gene therapy.","Thu, 08 Aug 2019 03:48:49 +0000",https://www.nytimes.com/2019/08/07/health/novartis-fda-gene-therapy.html?emc=rss&partner=rss,
New York Times,Why Are These Medical Instruments So Tough to Sterilize?,Duodenoscopes have sickened hundreds of patients in hospital outbreaks. Now some experts are demanding the devices be redesigned or taken off the market.,"Wed, 07 Aug 2019 18:32:34 +0000",https://www.nytimes.com/2019/08/06/health/duodenoscopes-infections-hospitals-antibiotics.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/07/11/climate/00scopes-2/00scopes-2-moth.jpg
New York Times,Do Older People Have a Different Smell?,Even scientists who study scent are divided.,"Thu, 08 Aug 2019 09:00:06 +0000",https://www.nytimes.com/2019/08/08/well/live/do-older-people-have-a-different-smell.html?emc=rss&partner=rss,
New York Times,Exercise During Pregnancy May Have Lasting Benefits for Babies,Babies whose mothers had exercised tended to perform better on tests of motor skills.,"Wed, 07 Aug 2019 14:38:19 +0000",https://www.nytimes.com/2019/08/07/well/move/exercise-during-pregnancy-may-have-lasting-benefits-for-babies.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/13/well/physed-pregnant-jogging/physed-pregnant-jogging-moth.jpg
New York Times,"Tech Meets Health Care, Sometimes Shakily","Katie Thomas, who covers health care, has chronicled how the technology disruption in her field has raised questions that are still unanswered.","Thu, 08 Aug 2019 08:59:52 +0000",https://www.nytimes.com/2019/08/07/technology/personaltech/tech-meets-health-care-sometimes-shakily.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/07/business/07techusing1/07techusing1-moth-v2.jpg
New York Times,What Experts Know About People Who Commit Mass Shootings,"There may be as many motivations as there are killers. But over the decades, scientists have seen some patterns emerge.","Wed, 07 Aug 2019 13:05:55 +0000",https://www.nytimes.com/2019/08/05/health/mass-shootings-mental-health.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/05/multimedia/05shootings-mental-hp/05shootings-mental-hp-moth-v4.jpg
New York Times,Deadly Germ Research Is Shut Down at Army Lab Over Safety Concerns,Problems with disposal of dangerous materials led the government to suspend research at the military’s leading biodefense center.,"Tue, 06 Aug 2019 15:02:00 +0000",https://www.nytimes.com/2019/08/05/health/germs-fort-detrick-biohazard.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/05/science/05germlab1/05germlab1-moth.jpg
New York Times,States Clash With Cities Over Potential Opioids Settlement Payouts,"As lawyers for cities and counties push a plan for a nationwide settlement of opioid lawsuits, states push back, saying they should lead the way.","Tue, 06 Aug 2019 04:49:01 +0000",https://www.nytimes.com/2019/08/05/health/opioids-litigation-settlement.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/05/science/05OPIOIDS-LAWSUIT1/05OPIOIDS-LAWSUIT1-moth.jpg
New York Times,"Tainted Pork, Ill Consumers and an Investigation Thwarted",Drug-resistant infections from food are growing. But powerful industry interests are blocking scientists and investigators from getting information they need to combat the problem.,"Mon, 05 Aug 2019 21:24:12 +0000",https://www.nytimes.com/2019/08/04/health/pork-antibiotic-resistance-salmonella.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/05/science/00GERMS-farms-alt/00GERMS-farms-alt-moth.jpg
New York Times,How I Came to Own My Name,My parents never told me that they had changed my name from Tiffi to Lauren when I was 6 months old. Would I have been a different person as Tiffi?,"Fri, 09 Aug 2019 09:00:19 +0000",https://www.nytimes.com/2019/08/09/well/family/how-i-came-to-own-my-name.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/science/00SCIWELLTIESNAMECHANGE/00SCIWELLTIESNAMECHANGE-moth.jpg
