publisher,title,summary,pubdate,link,thumblink
New York Times,The Secret History of ‘Easter Eggs’,"Yes, Google, Tesla, Amazon and others are still hiding quirky software surprises in their products, mostly to give you a chuckle.","Thu, 08 Aug 2019 19:26:30 +0000",https://www.nytimes.com/2019/08/08/technology/easter-eggs-tesla-google.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/01/business/00easteregg-tesla2/00easteregg-tesla2-moth-v2.jpg
New York Times,Uber Posts $5.2 Billion Loss and Slowest Ever Growth Rate,The double whammy immediately renewed questions about the prospects of the world’s biggest ride-hailing company.,"Thu, 08 Aug 2019 23:03:03 +0000",https://www.nytimes.com/2019/08/08/technology/uber-earnings.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/business/08uber/08uber-moth.jpg
New York Times,Facebook Said to Be in Talks With Publishers on News Effort,"The social network is pitching an initiative to license articles from some of the largest American news publishers for its mobile app, according to people with knowledge of the discussions.","Thu, 08 Aug 2019 22:46:51 +0000",https://www.nytimes.com/2019/08/08/technology/facebook-news-publishers.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/business/08facebooknews/08facebooknews-moth.jpg
New York Times,"Make Your Own Animated Movies, Frame by Frame",Stop-motion animation is a great way to bring toys and other objects to life — and learn the basics of filmmaking.,"Thu, 08 Aug 2019 03:50:05 +0000",https://www.nytimes.com/2019/08/07/technology/personaltech/make-your-own-animated-movies-frame-by-frame.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/07/technology/personaltech/07TECHTIP_TOPART/07RTECHTIP_TOPART-moth.jpg
New York Times,This High-Tech Solution to Disaster Response May Be Too Good to Be True,Major cities are turning to a Silicon Valley start-up to help save lives in an emergency. But some fear its promise has been dangerously exaggerated.,"Fri, 09 Aug 2019 13:52:56 +0000",https://www.nytimes.com/2019/08/09/us/emergency-response-disaster-technology.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/07/11/sports/00prediction-03/00prediction-03-moth.jpg
New York Times,The Week in Tech: How Does 8chan Whack-a-Mole End?,"Efforts to take a controversial website offline have been complex and divisive. But with any luck, they may also be galvanizing.","Fri, 09 Aug 2019 13:00:01 +0000",https://www.nytimes.com/2019/08/09/technology/8chan-shootings.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/business/09technewsletter/09technewsletter-moth.jpg
New York Times,What Is YouTube Pushing You to Watch Next?,A New TV Show from The New York Times on FX and Hulu,"Fri, 09 Aug 2019 13:50:37 +0000",https://www.nytimes.com/2019/08/09/the-weekly/youtube-brazil-far-right.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/11/autossell/11theweekly-brazilyoutube-promoimage1/18theweekly-brazilyoutube-promoimage1-moth.jpg
New York Times,"Huawei Unveils Harmony, Its Answer to Android, in Survival Bid","The fast-growing Chinese company, blocked by the Trump administration from working with Google, announced plans for its own mobile operating system.","Fri, 09 Aug 2019 10:43:56 +0000",https://www.nytimes.com/2019/08/09/technology/huawei-harmony-google-android-smartphones.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/world/09huawei-1/09huawei-1-moth.jpg
New York Times,"Legless, Leaping Larvae",Gall midge maggots have some surprising tricks that help them launch themselves into smile-inspiring jumps.,"Fri, 09 Aug 2019 09:58:45 +0000",https://www.nytimes.com/2019/08/08/science/leaping-larvae-maggot.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/science/08TB-LEAPINGLARVAE/08TB-LEAPINGLARVAE-moth.jpg
New York Times,Our Cars Are Trying to Keep Us Safe. Here’s How.,"There is no question that the tech in cars is making us safer. Even when optional, active electronic safety features can pay for themselves quickly.","Fri, 09 Aug 2019 05:41:38 +0000",https://www.nytimes.com/2019/08/08/smarter-living/our-cars-are-trying-to-keep-us-safe-heres-how.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/smarter-living/00sl-smartdrive/00sl-smartdrive-moth-v2.jpg
